Year,Rank,Team,Matches_Won,Matches_Lost,Matches_NR,Net_RR,For,Against,Points
2020,6,Punjab Kings,6,8,0,-0.162,2335/277.5,2343/273.3,12
2020,7,Chennai Super Kings,6,8,0,-0.455,2191/274.3,2275/269.4,12
2020,8,Rajasthan Royals,6,8,0,-0.569,2288/272.4,2482/277.0,12
2019,1,Mumbai Indians,9,5,0,0.421,2380/275.1,2282/277.2,18
2019,2,Chennai Super Kings,9,5,0,0.131,2043/274.1,2012/274.5,18
2019,3,Delhi Capitals,9,5,0,0.044,2207/272.5,2238/278.1,18
2019,4,Sunrisers Hyderabad,6,8,0,0.577,2288/269.2,2200/277.5,12
2019,5,Kolkata Knight Riders,6,8,0,0.028,2466/270.4,2419/266.2,12
2019,6,Punjab Kings,6,8,0,-0.251,2429/276.3,2503/277.0,12
2019,7,Rajasthan Royals,5,8,1,-0.449,2153/257.0,2192/248.2,11
2019,8,Royal Challengers Bangalore,5,8,1,-0.607,2146/258.4,2266/254.3,11
2018,1,Sunrisers Hyderabad,9,5,0,0.284,2230/273.3,2193/278.4,18
2018,2,Chennai Super Kings,9,5,0,0.253,2488/275.3,2433/277.1,18
2018,3,Kolkata Knight Riders,8,6,0,-0.070,2363/265.1,2425/270.0,16
2018,4,Rajasthan Royals,7,7,0,-0.250,2130/255.3,2141/249.2,14
2018,5,Mumbai Indians,6,8,0,0.317,2380/278.4,2282/277.3,12
2018,6,Royal Challengers Bangalore,6,8,0,0.129,2322/264.4,2383/275.4,12
2018,7,Punjab Kings,6,8,0,-0.502,2210/268.4,2259/258.5,12
2018,8,Delhi Capitals,5,9,0,-0.222,2297/258.0,2304/252.3,10
2017,1,Mumbai Indians,10,4,0,0.784,2407/272.1,2242/278.1,20
2017,2,Rising Pune Supergiant,9,5,0,0.176,2180/271.0,2165/275.1,18
2017,3,Sunrisers Hyderabad,8,5,1,0.599,2221/252.0,2118/257.5,17
2017,4,Kolkata Knight Riders,8,6,0,0.641,2329/260.5,2300/277.3,16
2017,5,Punjab Kings,7,7,0,-0.009,2207/261.2,2229/263.4,14
2017,6,Delhi Capitals,6,8,0,-0.512,2219/276.2,2255/264.0,12
2017,7,Gujarat Lions,4,10,0,-0.412,2406/269.5,2472/265.0,8
2017,8,Royal Challengers Bangalore,3,10,1,-1.299,1845/260.0,2033/242.1,7
